"usuario","id","texto","classificacao","categoria"
criticanac,1165376727935311872,"O Movimento Avança Brasil denuncia: O Vem Pra Rua, juntamente com a grande imprensa, irá usar da boa índole das pes… https://t.co/EsZI9r6fR9",1,politica
criticanac,1164668119413141504,"Contra toda a narrativa mentirosa da grande imprensa, Polícia Federal deflagra mais uma fase da Operação Lava Jato.… https://t.co/4gqUB3iFF7",1,politica
criticanac,1164650604268019713,"O puppet de Angela Merkel, que governa a França, escreveu uma tolice sobre a Amazônia e questionou nossa soberania… https://t.co/KYZbguhzz6",1,politica
criticanac,1164628288788152321,"Grande imprensa mentiu novamente, deputada Janaína Paschoal endossou a mentira, e ao fim ao cabo a verdade se impôs… https://t.co/SDyiyWL6D6",1,politica
conexaopolitica,1163649116167008257,Projeto de Lei do PCdoB que propõe a legalização do poliamor e do incesto será votado na CDHM no próximo dia 21 https://t.co/EupudQQAoy,1,politica
OBrasildoFutur1,1164670317459136513,"Segundo a NASA, as queimadas na Amazônia estão abaixo da média dos últimos 15 anos - https://t.co/8eYq4pXk5X",1,ciencia
oantagoniza,1164151514778259456,"Dados oficiais do INPE mostram que o governo Bolsonaro, mantém o menor índice de queimadas na Amazônia, desde 1998.… https://t.co/zcuuwKZ585",1,ciencia
brasil247,1156748168207486976,Esposa do primeiro-ministro do Canadá faz chacota de Eduardo embaixador https://t.co/n4ueRgE8m8,1,internacional
PauloMartins10,1136674706428440577,"Melhor o pessoal assumir logo no Lula Livre:Portal Transparência mostra que gestão Bolsonaro tem o maior orçament… https://t.co/bNIyORlBcq",1,educacao
sensacionalista,1164926331118850049,"Fumaça que escureceu SP saiu da fritura de Moro https://t.co/NYd95y8JrM",1,politica
republica_ctba,1165117119257894912,"Bolsonaro lidera com dobro de votos do segundo colocado a disputa presidencial de 2022, diz pesquisa https://t.co/Ldlc8P3ijA",1,politica
g1economia,1166091030107758592,Indonésia anuncia mudança de capital de Jacarta para local na ilha de Bornéu https://t.co/RMms1vftmT,0,internacional
g1economia,1166087508364578816,Cooperativas de café do Brasil dizem que clima afetará safra 2020 https://t.co/MBt8wClDXr,0,ciencia
portalR7,1166145805213818880,Rússia encontra resquícios de radioatividade após acidente https://t.co/TIwddezEPW https://t.co/iYSKWZf2ag,0,internacional
sbtjornalismo,1166070306416578560,"Com filho em coma, entregadora tem moto roubada durante visita em hospital Após visitar o filho na pediatria do ho… https://t.co/Ae5MM40m2w",0,policial
sbtjornalismo,1166026239850766336,"Idosa de 70 anos é degolada pelo filho adotivo em São Paulo A mulher foi encontrada pela cuidadora do marido, que… https://t.co/bCmvQxiUYT",0,policial
Estadao,1166118121477771265,"No Rio, Sérgio Moro visita PF que foi pivô da crise entre Bolsonaro e a corporação (via @EstadaoPolitica) https://t.co/YraczwlWg3",0,politica
Estadao,1166108058872733696,@esportefera Capa da France Football chama Neymar de 'desperdício' https://t.co/07wYZR45hF https://t.co/QK5kjShrfo,0,esportes
g1cienciaesaude,1166069937053556739,Casal de navegadores encontra plataforma gigante de rochas vulcânicas flutuando no Pacífico https://t.co/QFMPvX0xgo,0,ciencia
g1cienciaesaude,1165933036996911104,Equipamento diminui os sintomas do Mal de Parkinson e USP busca voluntários para novos testes https://t.co/P1v22lOYX0,0,ciencia
g1cienciaesaude,1165655712233644032,"Campeã de infecções, bactéria multirresistente é detectada agora fora de hospitais no Brasil https://t.co/45KIIHjdVy",0,saude
g1cienciaesaude,1164326471911038977,"Microplásticos estão presentes na água potável, mas riscos para a saúde são desconhecidos, diz OMS https://t.co/HUsLDPJkxs",0,saude
globoesportecom,1166138254569201665,"Com 35 gols, Flamengo tem 3º melhor ataque do Brasileirão nos pontos corridos até rodada 16 https://t.co/FhyXIpeAxF https://t.co/6fskNpjeEc",0,esporte
globoesportecom,1166134479339085824,"Millene admite dificuldade com inglês de Pia na Seleção, mas diz: ""Levamos da melhor forma"" https://t.co/SplBeZMvF3 https://t.co/nJuy8ewWpS",0,esporte
Estadao,1166087922312892416,Grupo de luxo LVMH doa 10 milhões de euros para combater fogo na Amazônia (via @Emais_Estadao)… https://t.co/yM0oYM970e,0,internacional
g1ribeiraopreto,1166151966097063936,"PM prende dupla suspeita de levar R$ 45 mil durante roubo a casa em Franca, SP https://t.co/DqF34RXvcC",0,policial
g1poparte,1166404070757797888,"Ed Sheeran supera U2 e atinge marca de turnê mais rentável de todos os tempos, diz revista https://t.co/C4HGlsKTNI",0,internacional
exame,1166432492901019648,"Em reunião com governadores, Bolsonaro reclama de reservas indígenas https://t.co/LZkzPkhhCX",0,politica
valoreconomico,1166405145963503619,'A Vida Invisível' vai representar o Brasil na corrida pelo Oscar https://t.co/JjHQCsfHXw,0,cotidiano
FoxSportsBrasil,1166423307794767872,"Jogador do Flamengo é convocado e desfalcará time em jogos importantes https://t.co/W5IrSP7sSN https://t.co/jM87A0d0S9",0,esportes
folhaesporte,1166070319704154116,Impasse trava ida à Espanha e deixa Neymar perto do 'fico' no PSG https://t.co/CHXS9gUUNd,0,esporte
g1cienciaesaude,1166407157253902337,Quase metade das doações ao Museu Nacional veio da Alemanha https://t.co/YOZ07e5HB4,0,ciencia
g1cienciaesaude,1166404648628039682,"Espaçonave russa transportando robô atraca em estação espacial, diz agência Tass https://t.co/8UKItl9Ayd",0,ciencia
g1cienciaesaude,1166316569997303808,Johnson Johnson é condenada a pagar US$ 572 mi por difundir opioides nos EUA https://t.co/y37CwBLWqI,0,saude
sensoinc,1166143146650193920,"Príncipe da isentolândia, primeiro-ministro imaginário, Maia é citado em relatório da PF por lavagem de dinheiro e… https://t.co/IfgFotnMuC",1,politica
sensoinc,1164343022160633856,É falso o que diz o e-farsas: o texto da lei de Orlando Silva (PCdoB/SP) é explícito ao defender reconhecimento até… https://t.co/6Dbx69yUeH,1,politica
criticanac,1166467170882215936,"Emmanuel Macron é hoje um anão diplomático no cenário geopolítico internacional, e isso ocorre por conta do giganti… https://t.co/6IkjSOTnIS",1,politica
conexaopolitica,1166382425074782209,EXCLUSIVO: Analisamos a fundo os dados do INPE e descobrimos o que a extrema-imprensa não mostrou | autor:… https://t.co/Lnn69FewZx,1,ciencia
sensoinc,1166165271180169217,"Austrália, Suécia, Rússia, Alemanha e China foram lugares que tiveram incêndios iguais ou piores do que os da Amazô… https://t.co/C0mW9sbpxu",1,internacional
sensoinc,1165036808264212480,"Depois desse festival de mentiras sobre a Amazônia é impossível levar algum esquerdista a serio - por @CFreitasR https://t.co/AXWcpO2vzH",1,politica
EstudosN,1163526957105070081,Pode tudo para o PL 3369/15 do PCdoB. O PL será votado na Comissão de Direitos Humanos e Minorias na quarta-feira (… https://t.co/Qc54hPBKTR,1,politica
JornalDaCidadeO,1166672549247426561,Esquerda é o reduto de tudo que há de pior no mundo. https://t.co/JPwOIdMSc8,1,politica
sensacionalista,1130123716824842242,Lula engata namoro de dentro da prisão e solteiros trocam Tinder por assalto a mão armada https://t.co/1VcJhdZqia,1,politica
sensacionalista,1131290918903013378,Harvard lança doutorado em fake news para aliados de Bolsonaro https://t.co/L5MPuneNFX,1,politica
sensacionalista,1129374872466055176,Cientistas investigam como é possível não esperar nada da versão brasileira de Shallow e ainda assim ficar decepcio… https://t.co/Tel6YXBhvv,1,cotidiano
1NewsBrasil,1164607184488919042,"Perda de Marília Mendonça, aos 3 meses de gestação, é anunciado ao público https://t.co/wXqrBXtwE9",1,cotidiano
1NewsBrasil,1163241805921472512,Luto: triste perda de Dira Paes causa grande comoção no Brasil https://t.co/LD9ADPWj3s,1,cotidiano
1NewsBrasil,1161406837222068224,Luto: perda de Renato Aragão comove o Brasil; ‘Céu está em festa’ https://t.co/uT829ZJwpU,1,cotidiano
JornalDaCidadeO,1162808533550850048,"Rodrigo Maia, lamentavelmente, e de forma bizarra, ao impor a VOTAÇÃO SECRETA, subtraiu, de forma CANALHA e COVARDE… https://t.co/Qxf7Mjx7iZ",1,politica
JornalDaCidadeO,1166784449713004544,A diferença abismal no trato da extrema imprensa com a avó de Michelle e Brigitte Macron https://t.co/EWQZMdwQqh,1,politica
1NewsBrasil,1163066018790379521,Luto: perda de cantora Ivete Sangalo causa tristeza no Brasil https://t.co/7kNo7FLiS1,1,cotidiano
1NewsBrasil,1151581868686319616,Luto: perda do cantor Eduardo Costa é divulgada após acidente grave de moto https://t.co/X0xmyuu9pz,1,cotidiano
criticanac,1167157931110031360,Presidente Bolsonaro deu hoje um cala-boca na imprensa mentirosa que insiste em mentir para seu público plantando a… https://t.co/VElYxa8SsP,1,politica
criticanac,1167140799945089026,Resultado da economia brasileira no segundo trimestre desbanca analistas a grande imprensa e confirma previsões fei… https://t.co/KuYNuFwJm4,1,politica
JornalDaCidadeO,1167778890279874560,"Eles não aceitam a derrota eleitoral e disseminam o ódio, num espetáculo de perversidade. https://t.co/xtU4TA8apy",1,politica
JornalDaCidadeO,1167753526782693376,"Ataca com extrema virulência, distorce fatos, cria versões e, quando desmascarada, refaz o malfeito. Um trágico esp… https://t.co/dsacTpSG71",1,cotidiano
sensacionalista,1167088815275745281,Vazamento da Lava Jato confirma que Silvio Santos topa tudo por dinheiro https://t.co/cLMsyqVIdf,1,politica
